=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.02.24 11:59:14 =~=~=~=~=~=~=~=~=~=~=~=
-8,-1,-20,0,0,0
23,-13,23,0,0,0
35,17,0,0,0,0
-52,11,-4,0,0,0
-59,9,-19,0,0,0
55,18,5,0,0,0
33,-40,-15,0,0,0
24,-4,-3,0,0,0
-41,21,24,0,0,0
-34,-16,-19,0,0,0
52,5,-13,0,0,0
-5,-9,-11,0,0,0
5,-5,10,0,0,0
5,12,-19,0,0,0
11,-17,-4,0,0,0
21,8,5,0,0,0
-45,-4,18,0,0,0
-18,33,24,0,0,0
22,10,-36,0,0,0
-20,-21,-29,0,0,0
1,15,-17,0,0,0
9,-3,10,0,0,0
-1,0,24,0,0,0
21,-7,-35,0,0,0
-20,19,-22,0,0,0
8,15,14,0,0,0
-11,-14,-19,0,0,0
26,-96,18,0,0,0
109,60,49,1,0,0
488,-315,223,9,-6,0
516,331,-206,0,0,2
519,-87,125,0,-4,1
305,-25,278,-3,-7,0
266,92,-117,0,-11,-1
419,9,-94,-1,-6,2
490,-197,-45,-5,-1,-1
355,-16,-156,4,0,-2
420,50,97,2,2,-7
207,-4,252,-2,1,-13
-50,-11,107,0,-2,-23
87,107,55,-3,-4,-19
135,-85,43,-8,0,-16
303,-177,-54,0,0,-14
384,-13,-199,6,1,-11
199,9,-356,4,2,-10
318,-56,404,9,23,0
-494,-44,-278,2,0,-8
-233,-214,850,-1,-4,-4
-91,630,-158,4,-6,-2
-154,-17,473,-3,9,-14
-70,62,68,-6,-13,-7
-173,-16,-223,15,1,-3
152,92,68,2,-1,1
221,-93,-351,11,5,7
203,287,66,-3,2,0
257,334,-251,4,-4,2
324,331,47,-15,-6,3
3755,-942,1797,8,-3,1
38,334,465,0,3,-5
370,222,-43,-8,9,0
304,25,-102,9,-1,-5
321,411,-14,-3,1,0
238,-431,182,0,-4,1
804,599,-389,-3,-10,-1
374,343,-26,-3,-1,-1
452,280,-85,-1,1,0
405,294,32,0,0,0
428,270,71,2,1,0
435,-34,-79,0,1,0
342,277,161,0,3,0
442,104,-178,0,4,0
285,236,126,1,5,0
280,253,62,1,1,1
269,190,-16,0,0,0
284,282,62,-1,-1,0
271,263,41,0,-1,0
304,224,77,-1,-3,0
354,217,-3,-1,-3,1
358,157,-77,0,0,1
372,170,-41,0,0,2
347,144,-46,0,1,1
337,161,32,0,0,0
372,149,13,0,0,0
364,115,-37,0,-2,0
386,241,16,0,-2,-1
430,221,-44,0,-1,0
445,214,-26,1,0,0
391,246,80,1,-3,0
430,281,54,1,-5,1
531,227,-122,0,-3,1
500,112,-53,0,0,-1
486,261,17,0,-1,0
528,202,-53,0,0,0
473,155,-165,0,4,0
430,110,-281,4,14,-3
269,224,-69,-1,19,-5
133,231,-152,-2,27,-1
-97,416,-238,-4,36,-3
-537,153,-223,-7,48,-5
-828,61,-257,-13,53,-2
-1326,-161,-208,-7,50,-4
-1750,-122,-143,-7,52,-3
-2122,30,-247,-1,47,0
-2632,-393,-311,-6,49,-7
-2834,-567,-899,-14,44,-13
-3123,-293,-694,44,41,0
-3514,125,-852,37,53,-3
-3988,841,-990,10,48,-5
-3989,302,-1348,0,45,3
-4686,387,-1085,-12,45,8
-4767,18,-1487,-2,33,3
-4824,201,-1806,-5,28,0
-4992,149,-1998,3,30,-1
-5229,287,-2189,6,31,0
-5493,293,-2237,1,37,1
-5747,352,-2310,1,26,-3
-5897,374,-2342,2,20,0
-6009,19,-2313,14,8,0
-5829,541,-2715,10,2,-2
-5983,509,-2694,-5,4,0
-5958,334,-2688,-1,0,-1
-5886,409,-2735,-1,0,-1
-5894,403,-2786,0,0,0
