ax,ay,az,gx,gy,gz
1464,70,-1603,573,-1292,577
1627,67,-1433,-121,-1665,145
1789,11,-1233,-375,-1616,40
1986,66,-1061,-502,-1467,-498
2197,36,-951,-170,-1285,-223
-2306,41,-781,-173,-611,-90
-2130,47,-611,545,-896,254
-1945,56,-507,474,-1658,322
-1719,32,-393,54,-1273,-48
-1482,47,-407,-571,455,-276
-1385,18,-125,-607,649,-239
-1183,-6,-108,-1208,-1728,-536
-866,-53,-332,-428,-347,-176
-775,-49,1,-154,1305,-82
-594,-93,-52,-1025,-393,-153
-357,-101,-210,-567,1027,81
-287,-153,-100,-18,-1310,146
-235,-131,-89,-167,-1028,-349
-219,-117,-67,120,108,31
-247,-146,-4,77,120,-41
-258,-133,18,21,113,-64
-235,-138,-74,-38,145,-23
-254,-140,0,15,94,33
-254,-131,-30,-1,79,-22
-273,-130,4,-6,153,24
-268,-110,-5,20,-245,140
-231,-97,-43,-153,-484,-179
-236,-131,21,-49,-561,-23
-207,-132,-35,21,-106,-2
-213,-133,-15,-5,191,14
-227,-133,-13,24,-140,-4
-208,-136,-19,1,-142,-2
-203,-137,-46,7,136,0
-215,-139,-19,8,193,24
-225,-129,-17,8,279,4
-231,-126,1,-20,-231,-1
-210,-128,-59,-16,-61,-20
-225,-126,-20,-4,293,6
-237,-136,7,0,-1,12
-225,-128,-27,-3,6,-6
-223,-132,-41,-46,-57,-11
-232,-141,-36,34,245,20
-262,-140,26,57,441,40
-259,-131,-19,4,-120,-19
-237,-131,-37,-41,-340,-14
-244,-132,-21,21,299,12
-255,-126,-20,0,260,9
-260,-127,-18,31,-70,-3
-256,-132,-30,0,123,0
-277,-131,-3,-4,287,7
-261,-130,-57,37,190,12
-295,-130,3,-1,189,9
-293,-125,-15,-7,4,-15
-292,-126,-27,2,55,4
-298,-132,3,-22,6,8
-289,-131,-23,1,-43,-14
-278,-132,-58,-11,-111,6
-284,-131,-33,-19,-16,3
-289,-132,-5,-7,-143,0
-277,-132,-43,-6,-84,-7
-272,-131,-37,10,79,14
-283,-130,-22,-8,193,10
-290,-131,-8,0,5,-9
-283,-127,-26,4,11,3
-285,-129,-29,-2,-1,9
-283,-131,-32,0,54,6
-291,-133,-15,-6,150,1
-300,-131,-35,14,364,3
-310,-135,-18,-7,32,5
-310,-137,-5,-32,-212,-8
-299,-128,-35,-9,-101,2
-287,-130,-37,-23,-137,-5
-294,-130,-24,-6,-23,1
-284,-133,-38,23,28,-9
-287,-133,-30,-13,-7,2
-296,-133,-17,6,196,13
-308,-136,-5,15,167,3
-299,-136,-50,-7,-8,-13
-309,-131,-10,-1,-17,11
