ax,ay,az,gx,gy,gz
4,-1,5,0,0,0
-1,0,3,0,0,0
-1,-12,-9,0,0,0
-3,-3,-9,0,0,0
-12,-5,-5,0,0,0
-1,-6,4,0,0,0
-5,-10,-15,0,0,0
1,-12,-4,0,0,0
-8,3,-16,0,0,0
0,-5,-14,0,0,0
4,-9,7,0,0,0
-9,-5,4,0,0,0
-8,-4,-4,0,0,0
-3,0,0,0,0,0
-5,6,20,0,0,0
0,-8,-5,0,0,0
-8,-11,11,0,0,0
-5,-8,2,0,0,0
-6,-4,5,0,0,0
3,-10,-7,0,0,0
4,-12,5,0,0,0
4,-7,10,0,0,0
-11,-2,-3,0,0,0
-10,-7,-13,0,0,0
-6,1,0,0,0,0
-11,0,0,0,0,0
-11,-15,0,0,0,0
-8,-8,3,0,0,0
-12,-4,5,0,0,0
-10,-7,-5,0,0,0
11,-7,3,0,0,0
-1,-9,19,0,0,0
-7,0,-7,0,0,0
2,-7,23,0,0,0
-13,-1,1,0,0,0
-4,1,1,0,0,0
-1,4,-8,0,0,0
3,-7,-18,0,0,0
-6,5,-13,0,0,0
-13,-4,1,0,0,0
2,0,7,0,0,0
8,-10,-2,0,0,0
0,-1,-1,0,0,0
-16,2,0,0,0,0
27,-15,-40,0,0,0
-7,-24,2,0,0,0
19,18,-9,0,0,0
-43,-9,-11,0,0,0
15,20,6,0,0,0
-13,-21,-1,0,0,0
16,-1,7,0,0,0
3,-12,3,0,0,0
-23,-6,4,0,0,0
0,6,-4,0,0,0
-10,-14,-2,0,0,0
14,-5,-3,0,0,0
-6,-20,-2,0,0,0
-7,4,-17,0,0,0
-4,0,-6,0,0,0
-9,-7,-6,0,0,0
5,-7,17,0,0,0
-7,-5,-4,0,0,0
-9,1,-12,0,0,0
-1,122,-26,11,-2,4
35,91,-9,0,0,0
31,112,24,-3,0,1
-11,-4,9,0,0,0
-1,-15,-4,0,0,0
-34,-47,23,7,-1,0
25,91,6,0,0,0
7,42,4,-4,1,0
28,-253,25,1,0,-1
40,-64,-6,3,-1,-8
22,95,21,0,0,-9
298,115,-3,0,0,-8
199,26,-5,-1,0,-6
145,-413,4,-4,0,-9
169,-256,26,0,0,-16
10,-139,-1,1,0,-22
26,-89,41,0,-3,-27
152,-2,-12,0,0,-36
143,-171,2,1,0,-42
154,-301,-2,0,1,-49
111,-17,-4,2,2,-53
45,-4,-4,5,1,-56
-212,189,19,7,0,-50
-167,235,-65,2,0,-45
-190,277,90,3,0,-37
-75,224,24,3,-2,-30
-42,300,9,0,-2,-25
137,-45,-18,-5,-1,-20
158,-24,-112,2,-1,-17
-16,235,-84,-12,8,-17
-308,-4,-58,-8,9,-15
-294,-358,-174,18,8,-12
-442,306,145,5,8,-10
-535,206,-27,-8,-8,-3
-83,129,244,4,-15,-3
-418,49,-74,-3,-1,-1
-425,153,-218,-2,4,0
-216,45,-294,-7,0,0
-41,-169,25,-4,-11,-2
135,-204,-38,0,2,-4
-27,-31,28,-7,9,-6
-150,241,-31,-1,3,-10
-142,-326,150,8,0,-9
-148,-136,-55,11,-1,-2
-85,85,2,10,-2,-2
8,174,-86,11,0,-3
-102,184,58,-4,1,-1
-134,82,68,-3,-1,0
-100,93,44,0,-3,0
-45,111,-31,3,-3,0
-4,197,-84,0,-5,0
24,136,-47,2,-4,0
58,147,29,2,-5,0
137,271,347,2,-13,0
168,194,-38,0,-3,0
183,198,-23,0,0,0
187,215,-59,0,1,0
159,210,-40,-1,2,0
127,179,24,-1,4,0
88,188,88,0,1,0
103,186,16,0,0,0
124,214,19,0,-1,0
134,188,-21,0,-1,0
144,203,-20,0,0,0
141,192,-5,0,0,0
134,211,0,0,0,0
128,206,-14,0,0,0
118,220,22,0,0,0
118,211,-19,0,0,0
134,221,-12,0,0,0
130,218,-8,0,1,0
108,236,37,0,0,0
115,219,-14,0,0,0
119,230,-2,1,0,0
132,243,-5,0,0,0
132,238,-19,0,0,0
133,226,-49,1,0,0
114,242,-12,0,1,0
98,245,-5,0,1,0
91,257,-34,0,2,0
78,253,-14,0,2,0
56,250,-97,1,4,0
-12,242,-131,0,9,0
-118,313,-89,2,14,0
-226,292,-124,0,18,0
-405,298,-53,0,21,0
-576,310,-213,3,25,0
-835,303,-167,4,31,0
-1102,421,-44,6,30,0
-1317,361,-96,9,26,1
-1499,551,-146,6,24,0
-1695,559,-239,4,23,0
-1849,607,-362,2,25,0
-2068,597,-367,3,28,0
-2298,621,-411,1,29,0
-2484,613,-598,0,28,-1
-2748,626,-681,0,36,-2
-3056,638,-676,0,37,-2
-3334,651,-599,1,32,0
-3531,617,-798,-2,27,-2
-3562,528,-1112,-1,16,-2
-3770,531,-1011,0,15,-3
-3998,722,-928,0,19,-1
-4030,681,-1052,3,13,0
-4083,648,-1443,0,22,0
-4330,659,-1078,5,18,2
-4357,638,-1421,1,14,0
-4469,615,-1452,-1,15,-1
-4526,592,-1604,-7,13,-4
-4620,410,-1662,-11,16,-7
-4774,397,-1613,-14,16,-9
-4815,312,-1984,-15,21,-9
-5019,245,-1980,-13,27,-7
-5193,190,-2225,0,34,-1
-5545,150,-1798,8,30,3
-5573,160,-2258,6,18,3
-5657,150,-2380,4,15,0
-5831,159,-2261,0,12,0
-5806,179,-2460,-4,6,-2
-5811,104,-2466,-8,-1,-5
-5786,117,-2489,-6,-4,-3
-5739,70,-2594,-1,-5,0
-5718,26,-2512,0,-3,0
-5683,29,-2564,0,-1,0
-5684,49,-2492,0,0,0
-5686,45,-2525,0,0,0
-5686,47,-2475,1,0,0
-5686,45,-2521,0,0,0
-5702,68,-2469,0,0,0
-5700,58,-2474,0,0,0
-5694,66,-2444,0,-1,0
-5674,42,-2457,0,-1,0
-5661,59,-2476,0,0,0
-5669,46,-2469,0,0,0
-5660,36,-2477,0,0,0
-5650,52,-2459,0,0,0
-5653,37,-2488,0,0,0
-5651,37,-2485,0,0,0
-5665,55,-2465,0,1,0
-5677,46,-2429,0,0,0
-5669,58,-2459,0,0,0
-5670,65,-2451,0,0,0
-5668,70,-2483,1,0,0
-5671,72,-2472,2,0,0
-5680,89,-2438,0,0,0
-5670,97,-2462,0,0,0
-5669,94,-2463,0,0,0
-5674,87,-2433,0,0,0
-5658,87,-2495,0,0,0
-5656,89,-2458,0,0,0
-5659,74,-2477,0,0,0
-5664,90,-2450,0,0,0
-5654,91,-2457,0,0,0
-5665,82,-2471,0,0,0
-5664,86,-2482,0,0,0
-5674,87,-2461,0,0,0
-5663,94,-2471,0,0,0
-5669,82,-2481,0,0,0
-5670,88,-2454,0,0,0
-5673,98,-2499,0,0,0
-5675,95,-2448,0,0,0
-5674,124,-2508,0,0,0
-5665,114,-2493,2,0,1
-5692,102,-2464,0,0,0
-5675,127,-2457,0,0,0
-5676,127,-2510,0,0,0
-5679,126,-2465,0,0,0
-5683,126,-2466,0,0,0
-5673,128,-2496,0,0,0
-5685,131,-2485,0,1,0
-5703,152,-2491,0,1,0
-5695,142,-2519,1,1,0
-5707,150,-2522,1,2,0
