time,w,x,y,z
12:09:12.968 -> quat,1,0.06,0.07,0.01
12:09:13.101 -> quat,1,0.06,0.07,0.01
12:09:13.234 -> quat,1,0.06,0.07,0.01
12:09:13.367 -> quat,1,0.06,0.07,0.01
12:09:13.500 -> quat,1,0.06,0.07,0.01
12:09:13.633 -> quat,1,0.06,0.07,0.01
12:09:13.733 -> quat,1,0.06,0.07,0.01
12:09:13.866 -> quat,1,0.06,0.07,0.01
12:09:14.032 -> quat,1,0.06,0.07,0.01
12:09:14.132 -> quat,1,0.06,0.07,0.01
12:09:14.265 -> quat,1,0.06,0.07,0.01
12:09:14.398 -> quat,1,0.06,0.07,0.01
12:09:14.531 -> quat,1,0.06,0.07,0.01
12:09:14.664 -> quat,1,0.06,0.07,0.01
12:09:14.797 -> quat,1,0.06,0.07,0.01
12:09:14.930 -> quat,1,0.06,0.07,0.01
12:09:15.029 -> quat,1,0.06,0.07,0.01
12:09:15.196 -> quat,1,0.06,0.07,0.01
12:09:15.329 -> quat,1,0.06,0.07,0.01
12:09:15.462 -> quat,1,0.06,0.07,0.01
12:09:15.595 -> quat,1,0.06,0.07,0.01
12:09:15.695 -> quat,1,0.06,0.07,0.01
12:09:15.827 -> quat,1,0.06,0.07,0.01
12:09:15.961 -> quat,1,0.06,0.07,0.01
12:09:16.094 -> quat,1,0.06,0.07,0.01
12:09:16.227 -> quat,1,0.06,0.07,0.01
12:09:16.361 -> quat,1,0.06,0.07,0.01
12:09:16.494 -> quat,1,0.06,0.07,0.01
12:09:16.626 -> quat,1,0.06,0.07,0.01
12:09:16.759 -> quat,1,0.06,0.07,0.01
12:09:16.892 -> quat,1,0.06,0.07,0.01
12:09:16.992 -> quat,1,0.06,0.07,0.01
12:09:17.125 -> quat,1,0.06,0.07,0.01
12:09:17.258 -> quat,1,0.06,0.07,0.01
12:09:17.390 -> quat,1,0.06,0.07,0.01
12:09:17.523 -> quat,1,0.06,0.07,0.01
12:09:17.656 -> quat,1,0.06,0.07,0.01
12:09:17.789 -> quat,1,0.06,0.07,0.01
12:09:17.922 -> quat,1,0.06,0.07,0.01
12:09:18.055 -> quat,1,0.06,0.07,0.01
12:09:18.188 -> quat,1,0.06,0.07,0.01
12:09:18.320 -> quat,1,0.06,0.07,0.01
12:09:18.453 -> quat,1,0.06,0.07,0.01
12:09:18.553 -> quat,1,0.06,0.07,0.01
12:09:18.685 -> quat,1,0.06,0.07,0.01
12:09:18.818 -> quat,1,0.06,0.07,0.01
12:09:18.951 -> quat,1,0.06,0.07,0.01
12:09:19.084 -> quat,1,0.06,0.07,0.01
12:09:19.217 -> quat,1,0.06,0.07,0.01
12:09:19.349 -> quat,1,0.06,0.07,0.01
12:09:19.482 -> quat,1,0.06,0.07,0.01
12:09:19.615 -> quat,1,0.06,0.07,0.01
12:09:19.748 -> quat,1,0.06,0.07,0.01
12:09:19.881 -> quat,1,0.06,0.07,0.01
12:09:20.013 -> quat,1,0.06,0.07,0.01
12:09:20.113 -> quat,1,0.06,0.07,0.01
12:09:20.246 -> quat,1,0.06,0.07,0.01
12:09:20.378 -> quat,1,0.06,0.07,0.01
12:09:20.545 -> quat,1,0.06,0.07,0.01
12:09:20.677 -> quat,1,0.06,0.07,0.01
12:09:20.777 -> quat,1,0.06,0.07,0.01
12:09:20.910 -> quat,1,0.06,0.07,0.01
12:09:21.043 -> quat,1,0.06,0.07,0.01
12:09:21.176 -> quat,1,0.06,0.07,0.01
12:09:21.308 -> quat,1,0.06,0.07,0.01
12:09:21.442 -> quat,1,0.06,0.07,0.01
12:09:21.576 -> quat,1,0.06,0.07,0.01
12:09:21.707 -> quat,1,0.06,0.07,0.01
12:09:21.840 -> quat,1,0.06,0.07,0.01
12:09:21.973 -> quat,1,0.06,0.07,0.01
12:09:22.105 -> quat,1,0.06,0.07,0.01
12:09:22.205 -> quat,1,0.06,0.07,0.01
12:09:22.338 -> quat,1,0.06,0.07,0.01
12:09:22.470 -> quat,1,0.06,0.07,0.01
12:09:22.603 -> quat,1,0.06,0.07,0.01
12:09:22.736 -> quat,1,0.06,0.07,0.01
12:09:22.869 -> quat,1,0.06,0.07,0.01
12:09:23.002 -> quat,1,0.06,0.07,0.01
12:09:23.134 -> quat,1,0.06,0.07,0.01
12:09:23.267 -> quat,1,0.06,0.07,0.01
12:09:23.401 -> quat,1,0.06,0.07,0.01
12:09:23.533 -> quat,1,0.06,0.07,0.01
12:09:23.666 -> quat,1,0.06,0.07,0.01
12:09:23.800 -> quat,1,0.06,0.07,0.01
12:09:23.900 -> quat,1,0.06,0.07,0.01
12:09:24.033 -> quat,1,0.06,0.07,0.01
12:09:24.166 -> quat,1,0.06,0.07,0.01
12:09:24.299 -> quat,1,0.06,0.07,0.01
12:09:24.432 -> quat,1,0.06,0.07,0.01
12:09:24.565 -> quat,1,0.06,0.07,0.01
12:09:24.698 -> quat,1,0.06,0.07,0.01
12:09:24.831 -> quat,1,0.06,0.07,0.01
12:09:24.964 -> quat,1,0.06,0.07,0.01
12:09:25.097 -> quat,1,0.06,0.07,0.01
12:09:25.197 -> quat,1,0.06,0.07,0.01
12:09:25.330 -> quat,1,0.06,0.07,0.01
12:09:25.463 -> quat,1,0.06,0.07,0.01
12:09:25.596 -> quat,1,0.06,0.07,0.01
12:09:25.763 -> quat,1,0.06,0.07,0.01
12:09:25.862 -> quat,1,0.06,0.07,0.01
12:09:25.995 -> quat,1,0.06,0.07,0.01
12:09:26.128 -> quat,1,0.06,0.07,0.01
12:09:26.261 -> quat,1,0.06,0.07,0.01
12:09:26.394 -> quat,1,0.06,0.07,0.01
12:09:26.528 -> quat,1,0.06,0.07,0.01
12:09:26.661 -> quat,1,0.06,0.07,0.01
12:09:26.794 -> quat,1,0.06,0.07,0.01
12:09:26.927 -> quat,1,0.06,0.07,0.01
12:09:27.060 -> quat,1,0.06,0.07,0.01
12:09:27.193 -> quat,1,0.06,0.07,0.01
12:09:27.293 -> quat,1,0.06,0.07,0.01
12:09:27.426 -> quat,1,0.06,0.07,0.01
12:09:27.559 -> quat,1,0.06,0.07,0.01
12:09:27.692 -> quat,1,0.06,0.07,0.01
12:09:27.825 -> quat,1,0.06,0.07,0.01
12:09:27.958 -> quat,1,0.06,0.07,0.01
12:09:28.091 -> quat,1,0.06,0.07,0.01
12:09:28.224 -> quat,1,0.06,0.07,0.01
12:09:28.357 -> quat,1,0.06,0.07,0.01
12:09:28.490 -> quat,1,0.06,0.07,0.01
12:09:28.623 -> quat,1,0.06,0.07,0.01
12:09:28.756 -> quat,1,0.06,0.07,0.01
12:09:28.855 -> quat,1,0.06,0.07,0.01
12:09:28.989 -> quat,1,0.06,0.07,0.01
12:09:29.121 -> quat,1,0.06,0.07,0.01
12:09:29.254 -> quat,1,0.06,0.07,0.01
12:09:29.387 -> quat,1,0.06,0.07,0.01
12:09:29.520 -> quat,1,0.06,0.07,0.01
12:09:29.653 -> quat,1,0.06,0.07,0.01
12:09:29.786 -> quat,1,0.06,0.07,0.01
12:09:29.919 -> quat,1,0.06,0.07,0.01
12:09:30.052 -> quat,1,0.06,0.07,0.01
12:09:30.185 -> quat,1,0.06,0.07,0.01
12:09:30.318 -> quat,1,0.06,0.07,0.01
12:09:30.418 -> quat,1,0.06,0.07,0.01
12:09:30.550 -> quat,1,0.06,0.07,0.01
12:09:30.716 -> quat,1,0.06,0.07,0.01
12:09:30.850 -> quat,1,0.06,0.07,0.01
12:09:30.983 -> quat,1,0.06,0.07,0.01
12:09:31.115 -> quat,1,0.06,0.07,0.01
12:09:31.215 -> quat,1,0.06,0.07,0.01
12:09:31.348 -> quat,1,0.06,0.07,0.01
12:09:31.481 -> quat,1,0.06,0.07,0.01
12:09:31.614 -> quat,1,0.06,0.07,0.01
12:09:31.747 -> quat,1,0.06,0.07,0.01
12:09:31.880 -> quat,1,0.06,0.07,0.01
12:09:32.012 -> quat,1,0.06,0.07,0.01
12:09:32.145 -> quat,1,0.06,0.07,0.01
12:09:32.279 -> quat,1,0.06,0.07,0.01
12:09:32.411 -> quat,1,0.06,0.07,0.01
12:09:32.544 -> quat,1,0.06,0.07,0.01
12:09:32.644 -> quat,1,0.06,0.07,0.01
12:09:32.776 -> quat,1,0.06,0.07,0.01
12:09:32.910 -> quat,1,0.06,0.07,0.01
12:09:33.043 -> quat,1,0.06,0.07,0.01
12:09:33.175 -> quat,1,0.06,0.07,0.01
12:09:33.308 -> quat,1,0.06,0.07,0.01
12:09:33.441 -> quat,1,0.06,0.07,0.01
12:09:33.574 -> quat,1,0.06,0.07,0.01
12:09:33.707 -> quat,1,0.06,0.07,0.01
12:09:33.840 -> quat,1,0.06,0.07,0.01
12:09:33.939 -> quat,1,0.06,0.07,0.01
12:09:34.072 -> quat,1,0.06,0.07,0.01
12:09:34.205 -> quat,1,0.06,0.07,0.01
12:09:34.337 -> quat,1,0.06,0.07,0.01
12:09:34.470 -> quat,1,0.06,0.07,0.01
12:09:34.603 -> quat,1,0.06,0.07,0.01
12:09:34.736 -> quat,1,0.06,0.07,0.01
12:09:34.869 -> quat,1,0.06,0.07,0.01
12:09:35.002 -> quat,1,0.06,0.07,0.01
12:09:35.135 -> quat,1,0.06,0.07,0.01
12:09:35.235 -> quat,1,0.06,0.07,0.01
12:09:35.367 -> quat,1,0.06,0.07,0.01
12:09:35.500 -> quat,1,0.06,0.07,0.01
12:09:35.633 -> quat,1,0.06,0.07,0.01
12:09:35.766 -> quat,1,0.07,0.07,0.01
12:09:35.899 -> quat,1,0.06,0.07,0.01
12:09:36.032 -> quat,1,0.06,0.07,0.01
12:09:36.165 -> quat,1,0.06,0.07,0.01
12:09:36.298 -> quat,1,0.06,0.07,0.01
12:09:36.431 -> quat,1,0.06,0.07,0.01
12:09:36.563 -> quat,1,0.06,0.07,0.01
12:09:36.663 -> quat,1,0.06,0.07,0.01
12:09:36.796 -> quat,1,0.06,0.07,0.01
12:09:36.928 -> quat,1,0.06,0.07,0.01
12:09:37.061 -> quat,1,0.07,0.07,0.01
12:09:37.194 -> quat,1,0.06,0.07,0.01
12:09:37.327 -> quat,1,0.06,0.07,0.01
12:09:37.460 -> quat,1,0.07,0.07,0.01
12:09:37.592 -> quat,1,0.06,0.07,0.01
12:09:37.725 -> quat,1,0.07,0.07,0.01
12:09:37.859 -> quat,1,0.07,0.07,0.01
12:09:37.958 -> quat,1,0.07,0.07,0.01
12:09:38.091 -> quat,1,0.07,0.07,0.01
12:09:38.224 -> quat,1,0.07,0.07,0.01
12:09:38.357 -> quat,1,0.07,0.07,0.01
12:09:38.490 -> quat,1,0.07,0.07,0.01
12:09:38.623 -> quat,1,0.07,0.07,0.01
12:09:38.756 -> quat,1,0.07,0.07,0.01
12:09:38.889 -> quat,1,0.07,0.07,0.01
12:09:39.022 -> quat,1,0.07,0.07,0.01
12:09:39.155 -> quat,1,0.07,0.07,0.01
12:09:39.254 -> quat,1,0.07,0.07,0.01
12:09:39.387 -> quat,1,0.07,0.07,0.01
12:09:39.520 -> quat,1,0.07,0.07,0.01
12:09:39.652 -> quat,1,0.07,0.07,0.01
12:09:39.785 -> quat,1,0.07,0.07,0.01
12:09:39.918 -> quat,1,0.07,0.07,0.01
12:09:40.050 -> quat,1,0.07,0.07,0.01
12:09:40.183 -> quat,1,0.07,0.07,0.01
12:09:40.316 -> quat,1,0.07,0.07,0.01
12:09:40.449 -> quat,1,0.07,0.07,0.01
12:09:40.581 -> quat,1,0.07,0.07,0.01
12:09:40.680 -> quat,0.99,0.07,0.07,0.01
12:09:40.813 -> quat,0.99,0.07,0.07,0.01
12:09:40.946 -> quat,0.99,0.07,0.07,0.01
12:09:41.112 -> quat,0.99,0.07,0.07,0.01
12:09:41.245 -> quat,0.99,0.07,0.07,0.01
12:09:41.344 -> quat,0.99,0.07,0.07,0.01
12:09:41.478 -> quat,0.99,0.07,0.07,0.01
12:09:41.610 -> quat,0.99,0.07,0.07,0.01
12:09:41.743 -> quat,0.99,0.07,0.07,0.01
12:09:41.876 -> quat,0.99,0.07,0.07,0.01
12:09:42.009 -> quat,0.99,0.07,0.07,0.01
12:09:42.142 -> quat,0.99,0.07,0.07,0.01
12:09:42.275 -> quat,0.99,0.07,0.07,0.01
12:09:42.407 -> quat,0.99,0.07,0.07,0.01
12:09:42.540 -> quat,0.99,0.07,0.07,0.01
12:09:42.673 -> quat,0.99,0.07,0.07,0.01
12:09:42.806 -> quat,0.99,0.07,0.07,0.01
12:09:42.906 -> quat,0.99,0.07,0.07,0.01
12:09:43.039 -> quat,0.99,0.07,0.07,0.01
12:09:43.172 -> quat,0.99,0.07,0.07,0.01
12:09:43.305 -> quat,0.99,0.07,0.07,0.01
12:09:43.438 -> quat,0.99,0.07,0.07,0.01
12:09:43.571 -> quat,0.99,0.07,0.07,0.01
12:09:43.703 -> quat,0.99,0.07,0.07,0.01
12:09:43.836 -> quat,0.99,0.07,0.07,0.01
12:09:43.969 -> quat,0.99,0.07,0.07,0.01
12:09:44.102 -> quat,0.99,0.07,0.07,0.01
12:09:44.235 -> quat,0.99,0.07,0.07,0.01
12:09:44.367 -> quat,0.99,0.07,0.07,0.01
12:09:44.467 -> quat,0.99,0.07,0.07,0.01
12:09:44.600 -> quat,0.99,0.07,0.07,0.01
12:09:44.733 -> quat,0.99,0.07,0.08,0.01
12:09:44.865 -> quat,0.99,0.07,0.08,0.01
12:09:44.998 -> quat,0.99,0.07,0.08,0.01
12:09:45.131 -> quat,0.99,0.07,0.08,0.01
12:09:45.263 -> quat,0.99,0.07,0.08,0.01
12:09:45.396 -> quat,0.99,0.07,0.08,0.01
12:09:45.529 -> quat,0.99,0.07,0.08,0.01
12:09:45.661 -> quat,0.99,0.07,0.08,0.01
12:09:45.794 -> quat,0.99,0.07,0.08,0.01
12:09:45.927 -> quat,0.99,0.07,0.08,0.01
12:09:46.060 -> quat,0.99,0.07,0.08,0.01
12:09:46.193 -> quat,0.99,0.07,0.08,0.01
12:09:46.326 -> quat,0.99,0.07,0.08,0.01
12:09:46.459 -> quat,0.99,0.07,0.08,0.01
12:09:46.559 -> quat,0.99,0.07,0.08,0.01
12:09:46.692 -> quat,0.99,0.07,0.08,0.01
12:09:46.825 -> quat,0.99,0.07,0.08,0.01
12:09:46.958 -> quat,0.99,0.07,0.08,0.01
12:09:47.091 -> quat,0.99,0.07,0.08,0.01
12:09:47.224 -> quat,0.99,0.07,0.08,0.01
12:09:47.356 -> quat,0.99,0.07,0.08,0.01
12:09:47.489 -> quat,0.99,0.07,0.08,0.01
12:09:47.622 -> quat,0.99,0.07,0.08,0.01
12:09:47.755 -> quat,0.99,0.07,0.08,0.01
12:09:47.888 -> quat,0.99,0.07,0.08,0.01
12:09:47.988 -> quat,0.99,0.07,0.08,0.01
12:09:48.121 -> quat,0.99,0.07,0.08,0.01
12:09:48.254 -> quat,0.99,0.07,0.08,0.01
12:09:48.387 -> quat,0.99,0.07,0.08,0.01
12:09:48.520 -> quat,0.99,0.07,0.08,0.01
12:09:48.653 -> quat,0.99,0.07,0.08,0.01
12:09:48.786 -> quat,0.99,0.07,0.08,0.01
12:09:48.919 -> quat,0.99,0.07,0.08,0.01
12:09:49.052 -> quat,0.99,0.07,0.08,0.01
12:09:49.185 -> quat,0.99,0.07,0.08,0.01
12:09:49.318 -> quat,0.99,0.07,0.08,0.01
12:09:49.418 -> quat,0.99,0.07,0.08,0.01
12:09:49.550 -> quat,0.99,0.07,0.08,0.01
12:09:49.683 -> quat,0.99,0.07,0.08,0.01
12:09:49.816 -> quat,0.99,0.07,0.08,0.01
12:09:49.949 -> quat,0.99,0.07,0.08,0.01
12:09:50.082 -> quat,0.99,0.07,0.08,0.01
12:09:50.215 -> quat,0.99,0.07,0.08,0.01
12:09:50.348 -> quat,0.99,0.07,0.08,0.01
12:09:50.481 -> quat,0.99,0.07,0.08,0.01
12:09:50.614 -> quat,0.99,0.07,0.08,0.01
12:09:50.714 -> quat,0.99,0.07,0.08,0.01
12:09:50.846 -> quat,0.99,0.07,0.08,0.01
12:09:50.979 -> quat,0.99,0.07,0.08,0.01
12:09:51.112 -> quat,0.99,0.07,0.08,0.01
12:09:51.245 -> quat,0.99,0.07,0.08,0.01
12:09:51.378 -> quat,0.99,0.07,0.08,0.01
12:09:51.511 -> quat,0.99,0.07,0.08,0.01
12:09:51.644 -> quat,0.99,0.07,0.08,0.01
12:09:51.776 -> quat,0.99,0.07,0.08,0.01
12:09:51.909 -> quat,0.99,0.07,0.08,0.01
12:09:52.042 -> quat,0.99,0.07,0.08,0.01
12:09:52.175 -> quat,0.99,0.07,0.08,0.01
12:09:52.274 -> quat,0.99,0.07,0.08,0.01
12:09:52.407 -> quat,0.99,0.07,0.08,0.01
12:09:52.540 -> quat,0.99,0.07,0.08,0.01
12:09:52.673 -> quat,0.99,0.07,0.08,0.01
12:09:52.839 -> quat,0.99,0.07,0.08,0.01
12:09:52.939 -> quat,0.99,0.07,0.08,0.01
12:09:53.072 -> quat,0.99,0.07,0.08,0.01
12:09:53.204 -> quat,0.99,0.07,0.08,0.01
12:09:53.337 -> quat,0.99,0.07,0.08,0.01
12:09:53.470 -> quat,0.99,0.07,0.08,0.01
12:09:53.603 -> quat,0.99,0.07,0.08,0.01
12:09:53.736 -> quat,0.99,0.07,0.08,0.01
12:09:53.868 -> quat,0.99,0.07,0.08,0.01
12:09:54.001 -> quat,0.99,0.07,0.08,0.01
12:09:54.134 -> quat,0.99,0.07,0.08,0.01
12:09:54.267 -> quat,0.99,0.07,0.08,0.01
12:09:54.400 -> quat,0.99,0.07,0.08,0.01
12:09:54.499 -> quat,0.99,0.07,0.08,0.01
12:09:54.632 -> quat,0.99,0.07,0.08,0.01
12:09:54.765 -> quat,0.99,0.07,0.08,0.01
12:09:54.897 -> quat,0.99,0.07,0.08,0.01
12:09:55.030 -> quat,0.99,0.07,0.08,0.01
12:09:55.163 -> quat,0.99,0.07,0.08,0.01
12:09:55.296 -> quat,0.99,0.07,0.08,0.01
12:09:55.428 -> quat,0.99,0.07,0.08,0.01
12:09:55.561 -> quat,0.99,0.07,0.08,0.01
12:09:55.694 -> quat,0.99,0.07,0.08,0.01
12:09:55.827 -> quat,0.99,0.07,0.08,0.01
12:09:55.960 -> quat,0.99,0.07,0.08,0.01
12:09:56.060 -> quat,0.99,0.07,0.08,0.01
12:09:56.216 -> quat,0.99,0.07,0.08,0.01
12:09:56.349 -> quat,0.99,0.07,0.08,0.01
12:09:56.482 -> quat,0.99,0.07,0.08,0.01
12:09:56.615 -> quat,0.99,0.07,0.08,0.01
12:09:56.748 -> quat,0.99,0.07,0.08,0.01
12:09:56.881 -> quat,0.99,0.07,0.08,0.01
12:09:56.980 -> quat,0.99,0.07,0.08,0.01
12:09:57.113 -> quat,0.99,0.07,0.08,0.01
12:09:57.247 -> quat,0.99,0.07,0.08,0.01
12:09:57.380 -> quat,0.99,0.07,0.08,0.01
12:09:57.513 -> quat,0.99,0.07,0.08,0.01
12:09:57.646 -> quat,0.99,0.07,0.08,0.01
12:09:57.778 -> quat,0.99,0.07,0.08,0.01
12:09:57.912 -> quat,0.99,0.07,0.08,0.01
12:09:58.045 -> quat,0.99,0.07,0.08,0.05
12:09:58.178 -> quat,0.99,0.07,0.07,0.11
12:09:58.310 -> quat,0.98,0.08,0.06,0.18
12:09:58.443 -> quat,0.96,0.08,0.04,0.26
12:09:58.576 -> quat,0.94,0.09,0.03,0.33
12:09:58.710 -> quat,0.92,0.09,0.02,0.38
12:09:58.810 -> quat,0.9,0.1,0.02,0.43
12:09:58.943 -> quat,0.87,0.1,0.01,0.47
12:09:59.076 -> quat,0.87,0.1,0.01,0.49
12:09:59.208 -> quat,0.86,0.1,0,0.51
12:09:59.341 -> quat,0.85,0.1,0,0.52
12:09:59.474 -> quat,0.84,0.1,0,0.53
12:09:59.607 -> quat,0.83,0.1,0,0.54
12:09:59.740 -> quat,0.83,0.1,0,0.55
12:09:59.873 -> quat,0.82,0.1,0,0.56
12:09:59.973 -> quat,0.81,0.11,0,0.57
12:10:00.106 -> quat,0.81,0.11,0,0.58
12:10:00.239 -> quat,0.8,0.11,0,0.58
12:10:00.405 -> quat,0.8,0.11,0,0.59
12:10:00.505 -> quat,0.8,0.11,0,0.59
12:10:00.638 -> quat,0.79,0.11,0,0.6
12:10:00.771 -> quat,0.79,0.11,0,0.6
12:10:00.904 -> quat,0.79,0.11,0,0.61
12:10:01.037 -> quat,0.79,0.11,0,0.61
12:10:01.171 -> quat,0.79,0.11,0,0.61
12:10:01.270 -> quat,0.79,0.11,0,0.61
12:10:01.403 -> quat,0.79,0.11,0,0.61
12:10:01.536 -> quat,0.79,0.11,0,0.61
12:10:01.702 -> quat,0.79,0.11,0,0.61
12:10:01.802 -> quat,0.79,0.11,0,0.61
12:10:01.935 -> quat,0.79,0.11,0.01,0.61
12:10:02.067 -> quat,0.79,0.11,0.01,0.61
12:10:02.200 -> quat,0.79,0.11,0.01,0.61
12:10:02.333 -> quat,0.79,0.11,0.01,0.61
12:10:02.466 -> quat,0.79,0.11,0.01,0.61
12:10:02.599 -> quat,0.79,0.11,0.01,0.61
12:10:02.699 -> quat,0.79,0.11,0.01,0.61
12:10:02.831 -> quat,0.79,0.11,0.01,0.6
12:10:02.998 -> quat,0.79,0.11,0.02,0.6
12:10:03.098 -> quat,0.79,0.11,0.02,0.6
12:10:03.231 -> quat,0.8,0.11,0.02,0.59
12:10:03.364 -> quat,0.8,0.11,0.02,0.58
12:10:03.497 -> quat,0.81,0.11,0.03,0.57
12:10:03.630 -> quat,0.83,0.11,0.03,0.55
12:10:03.763 -> quat,0.84,0.1,0.04,0.53
12:10:03.896 -> quat,0.85,0.1,0.04,0.52
12:10:03.996 -> quat,0.86,0.1,0.05,0.5
12:10:04.129 -> quat,0.87,0.1,0.05,0.49
12:10:04.295 -> quat,0.88,0.1,0.05,0.47
12:10:04.395 -> quat,0.88,0.1,0.06,0.46
12:10:04.528 -> quat,0.89,0.1,0.06,0.44
12:10:04.661 -> quat,0.9,0.09,0.06,0.42
12:10:04.793 -> quat,0.91,0.09,0.07,0.4
12:10:04.926 -> quat,0.91,0.09,0.07,0.39
12:10:05.059 -> quat,0.92,0.09,0.08,0.37
12:10:05.192 -> quat,0.93,0.09,0.08,0.35
12:10:05.292 -> quat,0.94,0.08,0.08,0.33
12:10:05.458 -> quat,0.94,0.08,0.09,0.31
12:10:05.591 -> quat,0.95,0.08,0.09,0.28
12:10:05.691 -> quat,0.96,0.08,0.1,0.27
12:10:05.824 -> quat,0.96,0.07,0.1,0.25
12:10:05.957 -> quat,0.96,0.07,0.1,0.24
12:10:06.090 -> quat,0.97,0.07,0.1,0.22
12:10:06.223 -> quat,0.97,0.07,0.11,0.21
12:10:06.356 -> quat,0.97,0.07,0.11,0.19
12:10:06.489 -> quat,0.98,0.07,0.11,0.18
12:10:06.589 -> quat,0.98,0.06,0.12,0.16
12:10:06.723 -> quat,0.98,0.06,0.12,0.15
12:10:06.889 -> quat,0.98,0.06,0.12,0.13
12:10:07.022 -> quat,0.98,0.06,0.12,0.11
12:10:07.155 -> quat,0.98,0.06,0.13,0.11
12:10:07.254 -> quat,0.98,0.05,0.13,0.1
12:10:07.387 -> quat,0.98,0.05,0.13,0.1
12:10:07.520 -> quat,0.98,0.05,0.13,0.1
12:10:07.653 -> quat,0.98,0.05,0.13,0.1
12:10:07.786 -> quat,0.98,0.05,0.13,0.12
12:10:07.919 -> quat,0.98,0.05,0.13,0.13
12:10:08.052 -> quat,0.98,0.06,0.12,0.14
12:10:08.186 -> quat,0.98,0.06,0.12,0.17
12:10:08.319 -> quat,0.97,0.06,0.12,0.19
12:10:08.452 -> quat,0.97,0.07,0.12,0.21
12:10:08.585 -> quat,0.97,0.07,0.12,0.22
12:10:08.685 -> quat,0.96,0.07,0.11,0.23
12:10:08.817 -> quat,0.96,0.07,0.11,0.25
12:10:08.950 -> quat,0.95,0.07,0.11,0.27
12:10:09.084 -> quat,0.95,0.07,0.11,0.28
12:10:09.217 -> quat,0.95,0.07,0.11,0.29
12:10:09.349 -> quat,0.94,0.08,0.1,0.32
12:10:09.482 -> quat,0.93,0.08,0.1,0.33
12:10:09.615 -> quat,0.93,0.08,0.1,0.34
12:10:09.748 -> quat,0.93,0.08,0.1,0.35
12:10:09.881 -> quat,0.93,0.08,0.1,0.35
12:10:10.014 -> quat,0.92,0.08,0.1,0.36
12:10:10.147 -> quat,0.92,0.08,0.1,0.37
12:10:10.247 -> quat,0.91,0.09,0.1,0.39
12:10:10.380 -> quat,0.91,0.09,0.1,0.4
12:10:10.513 -> quat,0.9,0.09,0.1,0.41
12:10:10.645 -> quat,0.89,0.09,0.09,0.43
12:10:10.778 -> quat,0.88,0.09,0.09,0.45
12:10:10.911 -> quat,0.87,0.1,0.09,0.47
12:10:11.044 -> quat,0.87,0.1,0.09,0.48
12:10:11.177 -> quat,0.86,0.1,0.08,0.49
12:10:11.310 -> quat,0.85,0.1,0.08,0.51
12:10:11.443 -> quat,0.84,0.1,0.08,0.52
12:10:11.576 -> quat,0.83,0.11,0.08,0.53
12:10:11.708 -> quat,0.83,0.11,0.08,0.54
12:10:11.841 -> quat,0.82,0.11,0.08,0.55
12:10:11.974 -> quat,0.82,0.11,0.08,0.56
12:10:12.074 -> quat,0.81,0.11,0.08,0.57
12:10:12.207 -> quat,0.8,0.11,0.08,0.58
12:10:12.340 -> quat,0.8,0.11,0.08,0.59
12:10:12.473 -> quat,0.8,0.12,0.08,0.59
12:10:12.605 -> quat,0.8,0.11,0.08,0.59
12:10:12.717 -> quat,0.8,0.11,0.08,0.59
12:10:12.850 -> quat,0.8,0.11,0.08,0.59
12:10:12.983 -> quat,0.8,0.11,0.08,0.59
