time,w,x,y,z
12:09:08.041 -> quat,1,0.06,0.07,0.01
12:09:08.174 -> quat,1,0.06,0.07,0.01
12:09:08.307 -> quat,1,0.06,0.07,0.01
12:09:08.407 -> quat,1,0.06,0.07,0.01
12:09:08.540 -> quat,1,0.06,0.07,0.01
12:09:08.673 -> quat,1,0.06,0.07,0.01
12:09:08.806 -> quat,1,0.06,0.07,0.01
12:09:08.939 -> quat,1,0.06,0.07,0.01
12:09:09.071 -> quat,1,0.06,0.07,0.01
12:09:09.204 -> quat,1,0.06,0.07,0.01
12:09:09.337 -> quat,1,0.06,0.07,0.01
12:09:09.470 -> quat,1,0.06,0.07,0.01
12:09:09.612 -> quat,1,0.06,0.07,0.01
12:09:09.712 -> quat,1,0.06,0.07,0.01
12:09:09.845 -> quat,1,0.06,0.07,0.01
12:09:09.978 -> quat,1,0.06,0.07,0.01
12:09:10.144 -> quat,1,0.06,0.07,0.01
12:09:10.244 -> quat,1,0.06,0.07,0.01
12:09:10.376 -> quat,1,0.06,0.07,0.01
12:09:10.509 -> quat,1,0.06,0.07,0.01
12:09:10.642 -> quat,1,0.06,0.07,0.01
12:09:10.775 -> quat,1,0.06,0.07,0.01
12:09:10.908 -> quat,1,0.06,0.07,0.01
12:09:11.008 -> quat,1,0.06,0.07,0.01
12:09:11.141 -> quat,1,0.06,0.07,0.01
12:09:11.274 -> quat,1,0.06,0.07,0.01
12:09:11.440 -> quat,1,0.06,0.07,0.01
12:09:11.539 -> quat,1,0.06,0.07,0.01
12:09:11.672 -> quat,1,0.06,0.07,0.01
12:09:11.805 -> quat,1,0.06,0.07,0.01
12:09:11.938 -> quat,1,0.06,0.07,0.01
12:09:12.071 -> quat,1,0.06,0.07,0.01
12:09:12.203 -> quat,1,0.06,0.07,0.01
12:09:12.337 -> quat,1,0.06,0.07,0.01
12:09:12.436 -> quat,1,0.06,0.07,0.01
12:09:12.569 -> quat,1,0.06,0.07,0.01
12:09:12.735 -> quat,1,0.06,0.07,0.01
12:09:12.835 -> quat,1,0.06,0.07,0.01
