time,w,x,y,z
17:53:32.598 -> quat,1,0,0,0
17:53:32.730 -> quat,1,0,0,0
17:53:32.863 -> quat,1,0.01,0,0
17:53:32.996 -> quat,1,0.01,0,0
17:53:33.129 -> quat,1,0.01,0,0
17:53:33.261 -> quat,1,0.01,0,0
17:53:33.394 -> quat,1,0.01,0,0
17:53:33.527 -> quat,1,0.01,0,0
17:53:33.660 -> quat,1,0.01,0,0
17:53:33.792 -> quat,1,0.01,0,0
17:53:33.925 -> quat,1,0.01,0,0
17:53:34.058 -> quat,1,0.01,0,0
17:53:34.190 -> quat,1,0.01,0.01,0
17:53:34.323 -> quat,1,0.01,0.01,0
17:53:34.456 -> quat,1,0.01,0.01,0
17:53:34.588 -> quat,1,0.01,0.01,0
17:53:34.721 -> quat,1,0.01,0.01,0
17:53:34.820 -> quat,1,0.01,0.01,0
17:53:34.953 -> quat,1,0.01,0.01,0
17:53:35.086 -> quat,1,0.01,0.01,0
17:53:35.219 -> quat,1,0.01,0.01,0
17:53:35.385 -> quat,1,0.01,0.01,0
17:53:35.517 -> quat,1,0.01,0.01,0
17:53:35.650 -> quat,1,0.01,0.01,0
17:53:35.783 -> quat,1,0.01,0.01,0
17:53:35.916 -> quat,1,0.02,0.01,0
17:53:36.015 -> quat,1,0.02,0.01,0
17:53:36.149 -> quat,1,0.02,0.01,0
17:53:36.281 -> quat,1,0.02,0.01,0
17:53:36.414 -> quat,1,0.02,0.01,0
17:53:36.580 -> quat,1,0.02,0.01,0.01
17:53:36.713 -> quat,1,0.02,0.01,0.01
17:53:36.845 -> quat,1,0.02,0.01,0.02
17:53:36.978 -> quat,1,0.02,0.01,0.02
17:53:37.111 -> quat,1,0.02,0.01,0.02
17:53:37.229 -> quat,1,0.02,0.01,0.02
17:53:37.362 -> quat,1,0.02,0.01,0.02
17:53:37.495 -> quat,1,0.02,0.01,0.02
17:53:37.627 -> quat,1,0.02,0.01,0.02
17:53:37.760 -> quat,1,0.02,0.01,0.02
17:53:37.893 -> quat,1,0.03,0.01,0.02
17:53:38.026 -> quat,1,0.03,0.01,0.02
17:53:38.158 -> quat,1,0.03,0.01,0.02
17:53:38.291 -> quat,1,0.03,0.01,0.02
17:53:38.424 -> quat,1,0.04,0.01,0.02
17:53:38.556 -> quat,1,0.04,0.01,0.03
17:53:38.689 -> quat,1,0.04,0.01,0.03
17:53:38.822 -> quat,1,0.04,0.01,0.04
17:53:38.955 -> quat,1,0.04,0.01,0.06
17:53:39.087 -> quat,1,0.05,0.01,0.06
17:53:39.220 -> quat,1,0.05,0.01,0.06
17:53:39.353 -> quat,1,0.05,0.01,0.06
17:53:39.485 -> quat,1,0.05,0.01,0.06
17:53:39.618 -> quat,1,0.05,0.01,0.06
17:53:39.751 -> quat,1,0.05,0.01,0.06
17:53:39.883 -> quat,1,0.05,0,0.06
17:53:40.016 -> quat,1,0.06,0.01,0.06
17:53:40.149 -> quat,1,0.06,0.01,0.06
17:53:40.281 -> quat,1,0.06,0.01,0.06
17:53:40.414 -> quat,1,0.06,0.01,0.06
17:53:40.547 -> quat,1,0.06,0.01,0.06
17:53:40.680 -> quat,1,0.06,0.01,0.06
17:53:40.812 -> quat,1,0.06,0.01,0.06
17:53:40.945 -> quat,1,0.07,0.01,0.06
17:53:41.077 -> quat,1,0.07,0.01,0.06
17:53:41.210 -> quat,1,0.07,0.01,0.06
17:53:41.343 -> quat,1,0.07,0.01,0.06
17:53:41.475 -> quat,1,0.07,0.01,0.06
17:53:41.608 -> quat,1,0.07,0.01,0.06
17:53:41.741 -> quat,1,0.07,0.01,0.06
17:53:41.873 -> quat,1,0.08,0.01,0.06
17:53:42.006 -> quat,1,0.08,0.01,0.06
17:53:42.139 -> quat,1,0.08,0.01,0.06
17:53:42.271 -> quat,1,0.08,0.01,0.06
17:53:42.404 -> quat,0.99,0.08,0.01,0.06
17:53:42.537 -> quat,0.99,0.08,0.01,0.06
17:53:42.670 -> quat,0.99,0.08,0.01,0.06
17:53:42.802 -> quat,0.99,0.08,0.01,0.07
17:53:42.935 -> quat,0.99,0.09,0.01,0.07
17:53:43.068 -> quat,0.99,0.09,0.01,0.08
17:53:43.200 -> quat,0.99,0.09,0.01,0.08
17:53:43.333 -> quat,0.99,0.09,0.01,0.08
17:53:43.466 -> quat,0.99,0.09,0.01,0.08
17:53:43.598 -> quat,0.99,0.09,0.01,0.08
17:53:43.698 -> quat,0.99,0.09,0.01,0.08
17:53:43.830 -> quat,0.99,0.09,0.01,0.08
17:53:43.963 -> quat,0.99,0.1,0.01,0.08
17:53:44.128 -> quat,0.99,0.09,0.01,0.09
17:53:44.261 -> quat,0.99,0.09,0.01,0.12
17:53:44.394 -> quat,0.99,0.09,0.02,0.13
17:53:44.526 -> quat,0.98,0.11,0.01,0.14
17:53:44.659 -> quat,0.98,0.11,-0.02,0.16
17:53:44.791 -> quat,0.98,0.12,-0.05,0.17
17:53:44.924 -> quat,0.97,0.14,-0.06,0.2
17:53:45.057 -> quat,0.96,0.14,-0.07,0.22
17:53:45.156 -> quat,0.96,0.14,-0.09,0.23
17:53:45.322 -> quat,0.95,0.14,-0.1,0.26
17:53:45.455 -> quat,0.95,0.13,-0.11,0.28
17:53:45.587 -> quat,0.94,0.13,-0.11,0.3
17:53:45.720 -> quat,0.93,0.14,-0.12,0.33
17:53:45.853 -> quat,0.91,0.16,-0.15,0.36
17:53:45.985 -> quat,0.9,0.15,-0.15,0.38
17:53:46.085 -> quat,0.89,0.16,-0.15,0.39
17:53:46.217 -> quat,0.89,0.17,-0.14,0.39
