time,w,x,y,z
18:21:20.745 -> quat,0.23,0.35,-0.84,0.33
18:21:20.878 -> quat,0.19,0.38,-0.85,0.31
18:21:21.010 -> quat,0.14,0.43,-0.85,0.27
18:21:21.143 -> quat,0.08,0.47,-0.85,0.22
18:21:21.276 -> quat,0.01,0.52,-0.84,0.18
18:21:21.408 -> quat,0,0.55,-0.83,0.14
18:21:21.508 -> quat,-0.01,0.56,-0.82,0.12
18:21:21.640 -> quat,0.01,0.56,-0.82,0.12
18:21:21.806 -> quat,0.02,0.55,-0.83,0.11
18:21:21.939 -> quat,0.05,0.53,-0.83,0.14
18:21:22.072 -> quat,0.07,0.53,-0.82,0.19
18:21:22.204 -> quat,0.05,0.53,-0.83,0.16
18:21:22.337 -> quat,0.05,0.54,-0.83,0.14
18:21:22.469 -> quat,0.02,0.55,-0.83,0.1
18:21:22.602 -> quat,-0.1,0.56,-0.82,0.03
18:21:22.734 -> quat,-0.2,0.58,-0.79,-0.04
18:21:22.867 -> quat,-0.26,0.59,-0.76,-0.08
18:21:23.000 -> quat,-0.33,0.6,-0.72,-0.11
18:21:23.133 -> quat,-0.39,0.61,-0.68,-0.14
18:21:23.266 -> quat,-0.43,0.61,-0.64,-0.16
18:21:23.399 -> quat,-0.46,0.62,-0.62,-0.16
18:21:23.531 -> quat,-0.51,0.61,-0.59,-0.15
18:21:23.664 -> quat,-0.55,0.6,-0.55,-0.17
18:21:23.796 -> quat,-0.6,0.6,-0.5,-0.17
18:21:23.929 -> quat,-0.67,0.57,-0.45,-0.17
18:21:24.028 -> quat,-0.71,0.54,-0.41,-0.19
18:21:24.194 -> quat,-0.7,0.55,-0.39,-0.25
18:21:24.327 -> quat,-0.71,0.52,-0.38,-0.28
18:21:24.459 -> quat,-0.74,0.47,-0.35,-0.33
18:21:24.592 -> quat,-0.77,0.37,-0.31,-0.41
18:21:24.725 -> quat,-0.79,0.32,-0.28,-0.44
18:21:24.857 -> quat,-0.79,0.29,-0.25,-0.48
18:21:24.990 -> quat,-0.78,0.25,-0.21,-0.53
18:21:25.123 -> quat,-0.78,0.22,-0.2,-0.54
18:21:25.255 -> quat,-0.79,0.2,-0.19,-0.56
18:21:25.388 -> quat,-0.78,0.18,-0.2,-0.56
18:21:25.520 -> quat,-0.79,0.18,-0.16,-0.56
18:21:25.653 -> quat,-0.81,0.16,-0.14,-0.55
18:21:25.786 -> quat,-0.81,0.17,-0.1,-0.55
18:21:25.918 -> quat,-0.78,0.19,-0.02,-0.6
18:21:26.051 -> quat,-0.77,0.18,-0.01,-0.61
18:21:26.184 -> quat,-0.78,0.18,-0.03,-0.6
18:21:26.317 -> quat,-0.78,0.18,-0.03,-0.59
18:21:26.449 -> quat,-0.79,0.19,-0.04,-0.59
18:21:26.582 -> quat,-0.79,0.2,-0.03,-0.58
18:21:26.714 -> quat,-0.79,0.2,-0.03,-0.57
18:21:26.847 -> quat,-0.8,0.2,-0.02,-0.57
18:21:26.980 -> quat,-0.8,0.2,-0.01,-0.57
18:21:27.112 -> quat,-0.8,0.21,-0.01,-0.57
18:21:27.245 -> quat,-0.8,0.21,0,-0.56
18:21:27.378 -> quat,-0.8,0.22,0.01,-0.56
18:21:27.510 -> quat,-0.8,0.22,0.02,-0.56
18:21:27.643 -> quat,-0.8,0.22,0.03,-0.55
18:21:27.775 -> quat,-0.8,0.22,0.03,-0.55
18:21:27.908 -> quat,-0.8,0.22,0.05,-0.55
18:21:28.041 -> quat,-0.8,0.23,0.06,-0.55
18:21:28.173 -> quat,-0.81,0.23,0.07,-0.54
18:21:28.306 -> quat,-0.81,0.23,0.08,-0.54
