time,w,x,y,z
18:21:05.461 -> quat,1,0,0,0
18:21:05.627 -> quat,1,0,0,0
18:21:05.759 -> quat,1,0,0,0
18:21:05.892 -> quat,1,0,0,0
18:21:06.024 -> quat,1,0.01,0,0
18:21:06.158 -> quat,1,-0.01,0,0
18:21:06.257 -> quat,1,-0.08,0,0.01
18:21:06.389 -> quat,0.99,-0.17,0,0.01
18:21:06.522 -> quat,0.95,-0.3,-0.02,0.01
18:21:06.655 -> quat,0.91,-0.41,-0.01,0.02
18:21:06.821 -> quat,0.82,-0.57,-0.01,0.02
18:21:06.953 -> quat,0.72,-0.7,-0.02,0.03
18:21:07.086 -> quat,0.65,-0.76,0,0.02
18:21:07.219 -> quat,0.57,-0.82,0.01,0.02
18:21:07.351 -> quat,0.46,-0.88,0.04,0.01
18:21:07.484 -> quat,0.39,-0.92,0.05,0
18:21:07.583 -> quat,0.3,-0.95,0.05,0
18:21:07.749 -> quat,0.17,-0.98,0.04,0.01
18:21:07.848 -> quat,0.11,-0.99,0.04,0
18:21:08.014 -> quat,0.06,-1,0.02,0
18:21:08.146 -> quat,0.02,-1,0.01,0
18:21:08.279 -> quat,-0.01,-1,0,0
18:21:08.412 -> quat,-0.02,-1,0.01,0
18:21:08.544 -> quat,-0.07,-1,0.01,0
18:21:08.677 -> quat,-0.1,-0.99,0.01,0.01
18:21:08.776 -> quat,-0.15,-0.99,0.01,0
18:21:08.909 -> quat,-0.2,-0.98,0,0
18:21:09.042 -> quat,-0.25,-0.97,0,-0.03
18:21:09.207 -> quat,-0.3,-0.95,0.03,-0.04
18:21:09.340 -> quat,-0.34,-0.94,0.06,-0.04
18:21:09.473 -> quat,-0.44,-0.9,0.07,-0.02
18:21:09.605 -> quat,-0.5,-0.86,0.08,0
18:21:09.738 -> quat,-0.55,-0.83,0.09,0.02
18:21:09.871 -> quat,-0.59,-0.8,0.08,0.02
18:21:10.003 -> quat,-0.67,-0.74,0.08,0.02
18:21:10.136 -> quat,-0.75,-0.66,0.06,0.03
18:21:10.268 -> quat,-0.86,-0.5,0.06,0.04
18:21:10.401 -> quat,-0.91,-0.41,0.04,0.05
18:21:10.534 -> quat,-0.94,-0.34,0.04,0.07
18:21:10.667 -> quat,-0.96,-0.25,0.03,0.09
18:21:10.800 -> quat,-0.99,-0.13,0.03,0.11
18:21:10.932 -> quat,-0.99,-0.08,0.03,0.12
18:21:11.065 -> quat,-0.99,-0.05,0.02,0.12
18:21:11.198 -> quat,-0.99,-0.04,0.01,0.1
18:21:11.330 -> quat,-1,-0.02,0.04,0.06
18:21:11.463 -> quat,-1,0,0.06,0
18:21:11.596 -> quat,-1,0,0.08,-0.05
18:21:11.728 -> quat,-0.99,0.02,0.08,-0.11
18:21:11.861 -> quat,-0.98,0.02,0.06,-0.17
18:21:11.994 -> quat,-0.96,0.05,0.06,-0.25
18:21:12.126 -> quat,-0.94,0.06,0.09,-0.33
18:21:12.259 -> quat,-0.86,-0.01,0.13,-0.49
18:21:12.391 -> quat,-0.79,-0.01,0.16,-0.59
18:21:12.491 -> quat,-0.74,-0.01,0.15,-0.66
18:21:12.624 -> quat,-0.68,0.01,0.16,-0.71
18:21:12.756 -> quat,-0.63,0.02,0.09,-0.77
18:21:12.922 -> quat,-0.57,0.05,0.06,-0.82
18:21:13.055 -> quat,-0.51,0.04,0.08,-0.86
18:21:13.187 -> quat,-0.44,0.03,0.1,-0.89
18:21:13.320 -> quat,-0.37,0.03,0.12,-0.92
18:21:13.452 -> quat,-0.33,0.02,0.11,-0.94
18:21:13.585 -> quat,-0.24,0.02,0.06,-0.97
18:21:13.717 -> quat,-0.15,0.07,0.01,-0.99
18:21:13.850 -> quat,-0.05,0.1,-0.03,-0.99
18:21:13.949 -> quat,0.02,0.1,-0.04,-0.99
18:21:14.115 -> quat,0.1,0.08,-0.08,-0.99
18:21:14.247 -> quat,0.16,0.06,-0.1,-0.98
18:21:14.380 -> quat,0.23,0.07,-0.1,-0.96
18:21:14.512 -> quat,0.3,0.07,-0.09,-0.95
18:21:14.645 -> quat,0.36,0.05,-0.1,-0.93
18:21:14.778 -> quat,0.44,0.05,-0.1,-0.89
18:21:14.910 -> quat,0.52,0.04,-0.1,-0.84
18:21:15.043 -> quat,0.6,0.04,-0.09,-0.79
18:21:15.176 -> quat,0.67,0.02,-0.09,-0.73
18:21:15.308 -> quat,0.74,0.04,-0.11,-0.66
18:21:15.441 -> quat,0.81,0.03,-0.11,-0.58
18:21:15.573 -> quat,0.87,0.01,-0.12,-0.48
18:21:15.706 -> quat,0.92,0,-0.14,-0.37
18:21:15.839 -> quat,0.95,-0.02,-0.14,-0.27
18:21:15.971 -> quat,0.97,-0.06,-0.14,-0.19
18:21:16.104 -> quat,0.98,-0.03,-0.15,-0.13
18:21:16.236 -> quat,0.99,-0.01,-0.14,-0.09
18:21:16.369 -> quat,0.99,-0.01,-0.17,-0.03
18:21:16.501 -> quat,0.99,-0.01,-0.16,-0.01
18:21:16.634 -> quat,0.99,0,-0.14,0.03
18:21:16.767 -> quat,0.99,0.02,-0.15,0.09
18:21:16.899 -> quat,0.98,0.02,-0.16,0.14
18:21:17.032 -> quat,0.97,0.03,-0.17,0.18
18:21:17.164 -> quat,0.96,0.02,-0.18,0.21
18:21:17.297 -> quat,0.95,-0.01,-0.19,0.24
18:21:17.430 -> quat,0.95,0.01,-0.18,0.26
18:21:17.562 -> quat,0.93,0,-0.21,0.3
18:21:17.662 -> quat,0.91,-0.03,-0.24,0.33
18:21:17.827 -> quat,0.88,-0.09,-0.25,0.38
18:21:17.927 -> quat,0.87,-0.06,-0.24,0.43
18:21:18.092 -> quat,0.86,-0.04,-0.21,0.47
18:21:18.225 -> quat,0.84,-0.04,-0.2,0.5
18:21:18.358 -> quat,0.82,-0.06,-0.19,0.53
18:21:18.491 -> quat,0.81,-0.09,-0.19,0.55
18:21:18.623 -> quat,0.79,-0.1,-0.19,0.57
18:21:18.756 -> quat,0.78,-0.11,-0.19,0.58
18:21:18.855 -> quat,0.78,-0.12,-0.18,0.58
18:21:18.988 -> quat,0.79,-0.13,-0.17,0.57
18:21:19.121 -> quat,0.8,-0.15,-0.19,0.55
18:21:19.286 -> quat,0.78,-0.12,-0.28,0.55
18:21:19.419 -> quat,0.74,-0.06,-0.36,0.57
18:21:19.552 -> quat,0.71,-0.05,-0.43,0.56
18:21:19.684 -> quat,0.67,-0.02,-0.52,0.52
18:21:19.817 -> quat,0.61,0.02,-0.62,0.5
18:21:19.949 -> quat,0.54,0.09,-0.68,0.49
18:21:20.082 -> quat,0.48,0.15,-0.72,0.47
18:21:20.215 -> quat,0.41,0.21,-0.77,0.44
18:21:20.347 -> quat,0.35,0.27,-0.79,0.42
18:21:20.480 -> quat,0.32,0.3,-0.82,0.36
18:21:20.612 -> quat,0.3,0.33,-0.83,0.34
