time,x,y,z
17:10:12.754 ->,109,-1352,-8368
17:10:12.887 ->,329,-531,-8292
17:10:13.020 ->,65,256,-8178
17:10:13.153 ->,112,26,-8171
17:10:13.285 ->,42,-78,-8223
17:10:13.418 ->,-55,-3,-8185
17:10:13.551 ->,240,1439,-7984
17:10:13.684 ->,-31,765,-8062
17:10:13.816 ->,-322,419,-8066
17:10:13.916 ->,-124,1202,-7949
17:10:14.048 ->,-325,1405,-7807
17:10:14.181 ->,-1,1361,-7820
17:10:14.314 ->,-3,-8,-8190
17:10:14.447 ->,158,912,-7956
17:10:14.580 ->,-359,-991,-8382
17:10:14.713 ->,306,-703,-8416
17:10:14.848 ->,-56,-724,-8377
17:10:14.981 ->,19,-1342,-8526
17:10:15.113 ->,-162,-1723,-8560
17:10:15.213 ->,-53,-1352,-8494
17:10:15.346 ->,-94,-1031,-8363
17:10:15.478 ->,-393,-1688,-8408
17:10:15.611 ->,-496,-2131,-8428
17:10:15.744 ->,322,-1207,-8417
17:10:15.876 ->,-110,-1182,-8275
17:10:16.009 ->,416,996,-8141
17:10:16.142 ->,-40,365,-8128
17:10:16.275 ->,179,367,-8187
17:10:16.407 ->,-262,1012,-7949
17:10:16.540 ->,521,3277,-7678
17:10:16.672 ->,-324,223,-8106
17:10:16.772 ->,66,1787,-7794
17:10:16.938 ->,-415,1217,-7795
17:10:17.071 ->,-474,567,-7954
17:10:17.203 ->,520,1185,-7901
17:10:17.336 ->,460,1046,-7938
17:10:17.436 ->,226,-1175,-8614
17:10:17.568 ->,-253,-1646,-8621
17:10:17.701 ->,367,-14,-8252
17:10:17.834 ->,60,-902,-8458
17:10:17.967 ->,657,196,-8315
17:10:18.099 ->,-36,-558,-8307
17:10:18.232 ->,-240,-1585,-8455
17:10:18.365 ->,-265,-1565,-8424
17:10:18.497 ->,-593,-2012,-8389
17:10:18.630 ->,257,-2214,-8540
17:10:18.763 ->,582,-162,-8332
17:10:18.896 ->,-2,-334,-8232
17:10:19.029 ->,128,1092,-8073
17:10:19.128 ->,192,354,-8168
17:10:19.261 ->,-603,1170,-7845
17:10:19.394 ->,-344,1458,-7754
