time,x,y,z
13:59:38.990 ->,6,47,-8170
13:59:39.123 ->,17,-127,-8201
13:59:39.256 ->,-30,-75,-8201
13:59:39.389 ->,85,46,-8190
13:59:39.521 ->,-82,-281,-8218
13:59:39.654 ->,-56,-136,-8209
13:59:39.787 ->,165,486,-8162
13:59:39.919 ->,38,212,-8167
13:59:40.052 ->,-3,-62,-8200
13:59:40.152 ->,5,-77,-8203
13:59:40.284 ->,1,-67,-8197
13:59:40.417 ->,-3,-73,-8212
13:59:40.549 ->,0,-82,-8210
13:59:40.682 ->,8,-79,-8201
13:59:40.815 ->,1,-76,-8190
13:59:40.947 ->,-2,-80,-8190
13:59:41.080 ->,8,-85,-8205
13:59:41.213 ->,2,-81,-8207
13:59:41.346 ->,-2,-86,-8202
13:59:41.478 ->,-8,-87,-8202
13:59:41.578 ->,5,-84,-8196
13:59:41.711 ->,-4,-84,-8201
13:59:41.843 ->,91,126,-8173
13:59:41.976 ->,-61,-234,-8211
13:59:42.109 ->,-1,-92,-8194
13:59:42.241 ->,0,-89,-8190
13:59:42.374 ->,33,-161,-8205
13:59:42.507 ->,-49,-80,-8194
13:59:42.640 ->,20,-65,-8210
13:59:42.773 ->,17,-86,-8196
13:59:42.905 ->,24,-71,-8194
13:59:43.005 ->,20,-71,-8199
13:59:43.137 ->,128,102,-8189
13:59:43.270 ->,54,-1,-8194
13:59:43.403 ->,9,175,-8170
13:59:43.535 ->,-18,197,-8167
13:59:43.668 ->,58,241,-8172
13:59:43.801 ->,67,219,-8157
13:59:43.933 ->,116,211,-8172
13:59:44.032 ->,-36,242,-8146
13:59:44.165 ->,-15,-54,-8200
13:59:44.298 ->,-89,-158,-8198
13:59:44.430 ->,-19,-51,-8195
13:59:44.563 ->,-23,-179,-8207
13:59:44.696 ->,35,-18,-8195
13:59:44.828 ->,27,-10,-8194
13:59:44.961 ->,-19,-63,-8199
13:59:45.094 ->,-28,-164,-8213
13:59:45.227 ->,-88,-243,-8216
13:59:45.359 ->,-100,-315,-8235
13:59:45.459 ->,-17,-172,-8220
13:59:45.625 ->,20,-3,-8190
13:59:45.757 ->,27,-4,-8181
13:59:45.890 ->,20,4,-8197
13:59:45.989 ->,18,-6,-8198
13:59:46.122 ->,7,-14,-8187
13:59:46.255 ->,11,-12,-8179
13:59:46.388 ->,12,-15,-8184
13:59:46.520 ->,8,-16,-8198
13:59:46.653 ->,3,-10,-8194
13:59:46.786 ->,7,-13,-8193
13:59:46.918 ->,3,-11,-8194
13:59:47.051 ->,10,-25,-8176
13:59:47.183 ->,12,-14,-8192
13:59:47.283 ->,2,-15,-8194
13:59:47.416 ->,5,-18,-8197
13:59:47.548 ->,11,-16,-8204
13:59:47.681 ->,7,-18,-8186
13:59:47.814 ->,17,-11,-8187
13:59:47.946 ->,-807,145,-8051
13:59:48.079 ->,-597,243,-8053
13:59:48.212 ->,-244,96,-8137
13:59:48.345 ->,64,26,-8185
13:59:48.477 ->,-42,41,-8186
13:59:48.610 ->,-45,167,-8150
13:59:48.710 ->,43,-139,-8225
13:59:48.842 ->,162,-242,-8262
13:59:48.975 ->,57,-188,-8238
13:59:49.108 ->,66,-23,-8199
13:59:49.240 ->,299,-97,-8260
13:59:49.373 ->,583,-227,-8318
13:59:49.506 ->,-37,-12,-8177
13:59:49.638 ->,-39,-1,-8175
13:59:49.771 ->,-44,6,-8186
13:59:49.904 ->,-43,6,-8171
13:59:50.036 ->,-30,5,-8186
13:59:50.136 ->,-38,12,-8178
13:59:50.302 ->,-35,14,-8182
13:59:50.434 ->,-42,6,-8182
13:59:50.534 ->,-40,10,-8178
13:59:50.666 ->,-44,0,-8187
13:59:50.799 ->,-44,10,-8190
13:59:50.932 ->,-36,9,-8176
13:59:51.065 ->,-34,8,-8181
13:59:51.197 ->,-39,14,-8183
13:59:51.330 ->,-37,13,-8172
13:59:51.463 ->,-40,14,-8173
13:59:51.595 ->,-38,14,-8176
13:59:51.728 ->,-35,14,-8177
13:59:51.861 ->,-44,11,-8172
13:59:51.960 ->,-40,13,-8182
13:59:52.093 ->,-34,12,-8174
13:59:52.226 ->,-43,0,-8178
13:59:52.358 ->,452,-45,-8282
13:59:52.491 ->,142,-31,-8233
13:59:52.624 ->,272,-37,-8257
13:59:52.756 ->,258,-109,-8265
13:59:52.889 ->,130,-83,-8235
13:59:53.022 ->,165,-63,-8228
13:59:53.155 ->,220,-55,-8243
13:59:53.287 ->,-233,-163,-8198
13:59:53.387 ->,-96,-107,-8200
13:59:53.520 ->,-22,80,-8164
13:59:53.652 ->,-227,26,-8148
13:59:53.785 ->,-45,153,-8153
13:59:53.918 ->,-269,-110,-8158
13:59:54.050 ->,-311,-151,-8152
13:59:54.183 ->,-243,28,-8137
13:59:54.315 ->,-318,170,-8108
13:59:54.448 ->,-150,79,-8142
13:59:54.581 ->,-2,-43,-8196
13:59:54.713 ->,2,-41,-8207
13:59:54.846 ->,15,-41,-8203
13:59:54.979 ->,7,-43,-8203
13:59:55.111 ->,4,-44,-8201
13:59:55.244 ->,6,-51,-8197
13:59:55.377 ->,-1,-59,-8202
13:59:55.509 ->,0,-62,-8201
13:59:55.642 ->,-8,-64,-8196
13:59:55.742 ->,-1,-68,-8195
13:59:55.874 ->,-3,-63,-8203
13:59:56.007 ->,-2,-68,-8182
13:59:56.140 ->,-4,-64,-8198
13:59:56.273 ->,-10,-53,-8205
13:59:56.405 ->,-4,-50,-8213
13:59:56.538 ->,-8,-67,-8192
13:59:56.671 ->,-23,-65,-8204
13:59:56.803 ->,-150,26,-8154
13:59:56.936 ->,-299,55,-8117
13:59:57.069 ->,-294,1,-8112
13:59:57.202 ->,-188,116,-8118
13:59:57.334 ->,-222,16,-8139
13:59:57.467 ->,-41,53,-8171
13:59:57.599 ->,80,-107,-8218
13:59:57.732 ->,111,-50,-8217
13:59:57.865 ->,296,-154,-8298
13:59:57.998 ->,217,-41,-8252
13:59:58.097 ->,381,-45,-8287
13:59:58.230 ->,135,-29,-8208
13:59:58.363 ->,0,-18,-8153
13:59:58.496 ->,-5,1,-8176
13:59:58.628 ->,2,-3,-8185
13:59:58.761 ->,-2,-4,-8193
13:59:58.894 ->,-7,-8,-8187
13:59:59.026 ->,-1,-5,-8194
13:59:59.159 ->,-15,-13,-8197
13:59:59.292 ->,9,5,-8197
13:59:59.425 ->,-5,-13,-8179
13:59:59.558 ->,1,-5,-8170
13:59:59.691 ->,4,-4,-8182
13:59:59.790 ->,-8,1,-8200
13:59:59.923 ->,4,7,-8191
14:00:00.056 ->,3,0,-8207
14:00:00.189 ->,-6,-6,-8189
14:00:00.322 ->,-16,-6,-8194
14:00:00.454 ->,0,-2,-8186
14:00:00.587 ->,-15,-20,-8170
14:00:00.720 ->,6,22,-8201
14:00:00.853 ->,-7,-30,-8074
14:00:00.953 ->,5,-2,-8192
14:00:01.086 ->,-7,-23,-8214
14:00:01.218 ->,-6,-19,-8199
14:00:01.351 ->,6,13,-8185
14:00:01.484 ->,-9,0,-8190
14:00:01.616 ->,2,-3,-8193
14:00:01.749 ->,-3,-11,-8195
14:00:01.882 ->,-10,-19,-8179
14:00:02.015 ->,-4,-3,-8186
14:00:02.147 ->,-6,-7,-8176
14:00:02.280 ->,-16,3,-8194
14:00:02.380 ->,-2,4,-8185
14:00:02.512 ->,-10,-12,-8192
14:00:02.645 ->,-1,-9,-8189
14:00:02.778 ->,-8,-12,-8180
14:00:02.911 ->,5,-8,-8184
14:00:03.043 ->,-11,4,-8188
14:00:03.176 ->,5,-1,-8188
14:00:03.309 ->,-11,-13,-8191
14:00:03.442 ->,4,-10,-8188
14:00:03.575 ->,-10,0,-8195
14:00:03.674 ->,0,-2,-8193
14:00:03.807 ->,-34,-11,-8185
14:00:03.940 ->,-2,-13,-8173
14:00:04.072 ->,0,3,-8200
14:00:04.205 ->,-10,-4,-8196
14:00:04.338 ->,1,-2,-8202
14:00:04.471 ->,-6,-11,-8184
14:00:04.604 ->,-7,2,-8188
14:00:04.736 ->,-1,0,-8188
14:00:04.869 ->,0,-3,-8193
14:00:05.002 ->,-4,-1,-8185
14:00:05.102 ->,-7,-4,-8203
14:00:05.234 ->,1,-10,-8191
14:00:05.367 ->,0,-4,-8192
14:00:05.533 ->,-10,-19,-8183
14:00:05.666 ->,-5,-18,-8179
14:00:05.765 ->,-8,-7,-8194
14:00:05.898 ->,-7,-6,-8188
14:00:06.030 ->,-4,-8,-8204
14:00:06.163 ->,-5,-10,-8192
14:00:06.296 ->,-3,-15,-8191
14:00:06.429 ->,3,-9,-8177
14:00:06.562 ->,1,-11,-8196
14:00:06.695 ->,-16,-8,-8186
14:00:06.827 ->,-10,-8,-8186
14:00:06.960 ->,0,-10,-8184
14:00:07.093 ->,-14,-13,-8186
14:00:07.226 ->,7,0,-8201
14:00:07.325 ->,-4,-10,-8194
14:00:07.458 ->,1,-1,-8181
14:00:07.590 ->,-8,-11,-8180
14:00:07.723 ->,-10,-9,-8191
14:00:07.856 ->,-9,-5,-8191
14:00:07.988 ->,-5,-15,-8180
14:00:08.121 ->,-12,-7,-8201
14:00:08.254 ->,-8,-8,-8198
14:00:08.387 ->,-6,-9,-8170
14:00:08.486 ->,-8,-18,-8184
14:00:08.619 ->,2,-12,-8195
14:00:08.752 ->,-17,-17,-8188
14:00:08.884 ->,24,-1,-8172
