time,x,y,z
13:59:23.459 ->,0,-1,-8190
13:59:23.592 ->,3,-5,-8184
13:59:23.725 ->,-1,-6,-8184
13:59:23.858 ->,6,6,-8189
13:59:23.990 ->,1,1,-8186
13:59:24.123 ->,0,5,-8191
13:59:24.256 ->,0,-1,-8191
13:59:24.355 ->,0,-8,-8176
13:59:24.488 ->,-1,-5,-8201
13:59:24.621 ->,-3,2,-8185
13:59:24.754 ->,5,-6,-8194
13:59:24.886 ->,-5,0,-8186
13:59:25.019 ->,1,-3,-8173
13:59:25.152 ->,0,-11,-8188
13:59:25.285 ->,2,0,-8190
13:59:25.417 ->,-4,-2,-8177
13:59:25.517 ->,-6,-5,-8181
13:59:25.650 ->,-4,1,-8205
13:59:25.783 ->,-10,-4,-8157
13:59:25.915 ->,4,-1,-8203
13:59:26.081 ->,0,2,-8202
13:59:26.181 ->,1,-2,-8192
13:59:26.314 ->,3,-1,-8201
13:59:26.446 ->,16,-4,-8182
13:59:26.579 ->,1,-4,-8195
13:59:26.712 ->,16,-2,-8203
13:59:26.844 ->,2,-7,-8187
13:59:26.977 ->,12,-9,-8194
13:59:27.110 ->,24,2,-8183
13:59:27.243 ->,8,-1,-8178
13:59:27.376 ->,-20,1,-8183
13:59:27.509 ->,50,9,-8199
13:59:27.642 ->,-13,-10,-8160
13:59:27.741 ->,9,0,-8177
13:59:27.874 ->,7,-5,-8188
13:59:28.006 ->,-20,-4,-8191
13:59:28.139 ->,12,22,-8173
13:59:28.272 ->,-5,0,-8174
13:59:28.404 ->,-2,-4,-8194
13:59:28.537 ->,5,9,-8180
13:59:28.670 ->,-12,21,-8183
13:59:28.803 ->,-1,11,-8184
13:59:28.935 ->,262,-76,-8216
13:59:29.068 ->,-9,-129,-8181
13:59:29.201 ->,-16,-28,-8191
13:59:29.334 ->,-18,34,-8196
13:59:29.467 ->,5,-38,-8179
13:59:29.599 ->,-16,-128,-8202
13:59:29.732 ->,30,89,-8179
13:59:29.865 ->,-8,3,-8184
13:59:29.998 ->,-30,-24,-8196
13:59:30.097 ->,-33,170,-8172
13:59:30.230 ->,-7,89,-8179
13:59:30.363 ->,18,1,-8193
13:59:30.496 ->,27,-140,-8199
13:59:30.629 ->,21,38,-8197
13:59:30.761 ->,-88,-188,-8197
13:59:30.894 ->,-60,-198,-8195
13:59:31.026 ->,-48,27,-8195
13:59:31.159 ->,18,-80,-8213
13:59:31.292 ->,-262,-430,-8200
13:59:31.425 ->,-6,-61,-8195
13:59:31.558 ->,-46,120,-8184
13:59:31.690 ->,38,-27,-8190
13:59:31.823 ->,10,-187,-8191
13:59:31.956 ->,15,75,-8182
13:59:32.089 ->,-51,157,-8187
13:59:32.221 ->,80,-219,-8207
13:59:32.321 ->,17,95,-8181
13:59:32.454 ->,-31,-82,-8196
13:59:32.586 ->,-32,185,-8155
13:59:32.719 ->,0,-122,-8201
13:59:32.852 ->,-7,-110,-8205
13:59:32.985 ->,19,61,-8182
13:59:33.117 ->,-2,104,-8168
13:59:33.250 ->,-55,-1,-8176
13:59:33.383 ->,105,323,-8146
13:59:33.516 ->,-61,-14,-8191
13:59:33.649 ->,-19,-198,-8206
13:59:33.781 ->,99,66,-8182
13:59:33.881 ->,-46,-187,-8216
13:59:34.047 ->,-82,-243,-8199
13:59:34.180 ->,-7,4,-8196
13:59:34.313 ->,3,11,-8188
13:59:34.445 ->,5,3,-8196
13:59:34.578 ->,4,1,-8174
13:59:34.678 ->,10,6,-8188
13:59:34.811 ->,-1,6,-8183
13:59:34.944 ->,2,-2,-8182
13:59:35.077 ->,7,17,-8182
13:59:35.209 ->,11,16,-8192
13:59:35.342 ->,17,19,-8193
13:59:35.475 ->,-158,-364,-8209
13:59:35.607 ->,39,-67,-8200
13:59:35.740 ->,-36,-64,-8195
13:59:35.873 ->,-18,-123,-8193
13:59:36.006 ->,-94,-211,-8201
13:59:36.138 ->,49,91,-8178
13:59:36.238 ->,-12,-71,-8174
13:59:36.370 ->,17,-122,-8195
13:59:36.536 ->,26,1,-8180
13:59:36.669 ->,-39,-26,-8178
13:59:36.802 ->,-140,-275,-8221
13:59:36.901 ->,35,118,-8166
13:59:37.034 ->,44,127,-8172
13:59:37.166 ->,9,-52,-8197
13:59:37.299 ->,-28,-87,-8203
13:59:37.432 ->,-11,-130,-8195
13:59:37.564 ->,26,7,-8189
13:59:37.697 ->,-35,-48,-8189
13:59:37.829 ->,-70,-273,-8215
13:59:37.962 ->,152,169,-8188
13:59:38.095 ->,49,-18,-8186
13:59:38.227 ->,-11,-32,-8196
13:59:38.360 ->,-20,-143,-8207
13:59:38.460 ->,2,-152,-8190
13:59:38.626 ->,-15,-62,-8209
13:59:38.758 ->,27,32,-8188
13:59:38.891 ->,16,-57,-8217
