time,w,x,y,z
11:38:51.869 -> quat,1,0,0,0
11:38:52.002 -> quat,1,0,0,0
11:38:52.135 -> quat,1,0.01,0,0
11:38:52.269 -> quat,1,0.01,0,0
11:38:52.402 -> quat,1,0.01,0,0
11:38:52.535 -> quat,1,0.01,0,0
11:38:52.668 -> quat,1,0.01,0,0
11:38:52.768 -> quat,1,0.01,0,0
11:38:52.902 -> quat,1,0.01,0,0
11:38:53.035 -> quat,1,0.01,0,0
11:38:53.168 -> quat,1,0.01,0,0
11:38:53.334 -> quat,1,0.01,0,0
11:38:53.467 -> quat,1,0.02,-0.01,-0.01
11:38:53.600 -> quat,1,0.02,-0.01,-0.01
11:38:53.734 -> quat,1,0.01,-0.01,-0.04
11:38:53.867 -> quat,1,-0.01,-0.01,-0.08
11:38:54.000 -> quat,0.99,-0.03,0,-0.13
11:38:54.100 -> quat,0.98,-0.05,0,-0.18
11:38:54.232 -> quat,0.97,-0.08,0.01,-0.22
11:38:54.365 -> quat,0.96,-0.11,0.01,-0.26
11:38:54.499 -> quat,0.95,-0.14,0.02,-0.29
11:38:54.665 -> quat,0.93,-0.18,0.02,-0.33
11:38:54.798 -> quat,0.91,-0.21,0.02,-0.36
11:38:54.898 -> quat,0.88,-0.25,0.02,-0.4
11:38:55.031 -> quat,0.85,-0.28,0.01,-0.44
11:38:55.164 -> quat,0.81,-0.32,0.01,-0.48
11:38:55.298 -> quat,0.77,-0.36,-0.01,-0.53
11:38:55.431 -> quat,0.73,-0.4,0,-0.55
11:38:55.564 -> quat,0.7,-0.44,0,-0.57
11:38:55.697 -> quat,0.67,-0.48,0,-0.57
11:38:55.830 -> quat,0.63,-0.52,0,-0.58
11:38:55.963 -> quat,0.59,-0.56,0.02,-0.58
11:38:56.096 -> quat,0.56,-0.59,0.03,-0.58
11:38:56.229 -> quat,0.5,-0.63,0.05,-0.6
11:38:56.363 -> quat,0.47,-0.65,0.06,-0.6
11:38:56.496 -> quat,0.46,-0.67,0.06,-0.59
11:38:56.796 -> quat,0.44,-0.7,0.08,-0.56
11:38:56.929 -> quat,0.44,-0.7,0.09,-0.55
11:38:57.062 -> quat,0.44,-0.71,0.1,-0.54
11:38:57.195 -> quat,0.44,-0.72,0.1,-0.53
11:38:57.328 -> quat,0.44,-0.73,0.1,-0.52
11:38:57.468 -> quat,0.45,-0.73,0.11,-0.51
11:38:57.602 -> quat,0.46,-0.73,0.11,-0.5
11:38:57.701 -> quat,0.46,-0.73,0.11,-0.49
11:38:57.834 -> quat,0.46,-0.73,0.12,-0.49
11:38:57.968 -> quat,0.46,-0.74,0.11,-0.49
11:38:58.101 -> quat,0.46,-0.73,0.11,-0.48
11:38:58.234 -> quat,0.48,-0.73,0.11,-0.47
11:38:58.367 -> quat,0.51,-0.72,0.11,-0.46
11:38:58.500 -> quat,0.54,-0.71,0.12,-0.44
11:38:58.666 -> quat,0.56,-0.7,0.13,-0.42
11:38:58.800 -> quat,0.59,-0.69,0.16,-0.4
11:38:58.900 -> quat,0.6,-0.68,0.17,-0.38
11:38:59.033 -> quat,0.62,-0.67,0.19,-0.37
11:38:59.166 -> quat,0.63,-0.66,0.22,-0.34
11:38:59.299 -> quat,0.64,-0.65,0.24,-0.31
11:38:59.432 -> quat,0.66,-0.64,0.27,-0.28
11:38:59.565 -> quat,0.67,-0.63,0.29,-0.25
11:38:59.698 -> quat,0.69,-0.62,0.32,-0.22
11:38:59.831 -> quat,0.7,-0.6,0.34,-0.19
11:38:59.964 -> quat,0.71,-0.59,0.36,-0.16
11:39:00.097 -> quat,0.72,-0.58,0.37,-0.14
11:39:00.230 -> quat,0.72,-0.56,0.38,-0.12
11:39:00.363 -> quat,0.73,-0.55,0.4,-0.1
11:39:00.496 -> quat,0.73,-0.54,0.41,-0.09
11:39:00.630 -> quat,0.73,-0.53,0.43,-0.07
11:39:00.763 -> quat,0.73,-0.52,0.44,-0.06
11:39:00.896 -> quat,0.74,-0.51,0.44,-0.06
11:39:01.029 -> quat,0.74,-0.51,0.44,-0.06
11:39:01.162 -> quat,0.74,-0.51,0.44,-0.07
11:39:01.295 -> quat,0.74,-0.49,0.44,-0.07
11:39:01.428 -> quat,0.75,-0.49,0.44,-0.07
11:39:01.528 -> quat,0.74,-0.49,0.45,-0.07
11:39:01.661 -> quat,0.75,-0.49,0.44,-0.07
11:39:01.794 -> quat,0.75,-0.49,0.44,-0.07
11:39:01.927 -> quat,0.74,-0.49,0.44,-0.07
11:39:02.060 -> quat,0.74,-0.49,0.44,-0.08
11:39:02.194 -> quat,0.74,-0.5,0.44,-0.08
11:39:02.327 -> quat,0.74,-0.5,0.44,-0.08
11:39:02.493 -> quat,0.74,-0.5,0.44,-0.08
11:39:02.627 -> quat,0.75,-0.5,0.43,-0.09
11:39:02.727 -> quat,0.74,-0.5,0.43,-0.09
11:39:02.860 -> quat,0.74,-0.5,0.43,-0.09
11:39:02.993 -> quat,0.74,-0.5,0.43,-0.09
11:39:03.127 -> quat,0.74,-0.5,0.43,-0.1
11:39:03.260 -> quat,0.74,-0.51,0.43,-0.1
11:39:03.393 -> quat,0.74,-0.51,0.42,-0.1
11:39:03.526 -> quat,0.74,-0.52,0.42,-0.1
11:39:03.660 -> quat,0.73,-0.54,0.4,-0.13
11:39:03.793 -> quat,0.71,-0.58,0.35,-0.18
11:39:03.926 -> quat,0.69,-0.61,0.31,-0.23
11:39:04.059 -> quat,0.66,-0.64,0.27,-0.28
11:39:04.192 -> quat,0.64,-0.66,0.23,-0.32
11:39:04.326 -> quat,0.62,-0.67,0.19,-0.36
11:39:04.459 -> quat,0.6,-0.68,0.16,-0.39
11:39:04.592 -> quat,0.57,-0.69,0.13,-0.42
11:39:04.726 -> quat,0.55,-0.7,0.1,-0.45
11:39:04.859 -> quat,0.52,-0.71,0.07,-0.48
11:39:04.992 -> quat,0.49,-0.71,0.03,-0.5
11:39:05.126 -> quat,0.46,-0.72,0.01,-0.53
11:39:05.259 -> quat,0.44,-0.72,0,-0.54
11:39:05.391 -> quat,0.42,-0.72,-0.01,-0.55
11:39:05.491 -> quat,0.38,-0.73,-0.01,-0.57
11:39:05.624 -> quat,0.34,-0.74,-0.01,-0.58
11:39:05.757 -> quat,0.32,-0.74,-0.01,-0.59
11:39:05.890 -> quat,0.33,-0.74,0,-0.58
11:39:06.056 -> quat,0.34,-0.75,0.02,-0.57
11:39:06.189 -> quat,0.35,-0.75,0.03,-0.56
11:39:06.322 -> quat,0.36,-0.75,0.04,-0.55
11:39:06.456 -> quat,0.37,-0.75,0.05,-0.55
11:39:06.589 -> quat,0.37,-0.75,0.06,-0.54
11:39:06.722 -> quat,0.38,-0.75,0.07,-0.53
11:39:06.822 -> quat,0.38,-0.75,0.08,-0.53
11:39:06.955 -> quat,0.38,-0.75,0.08,-0.53
11:39:07.088 -> quat,0.39,-0.76,0.09,-0.52
11:39:07.222 -> quat,0.4,-0.75,0.09,-0.52
11:39:07.388 -> quat,0.4,-0.75,0.09,-0.51
11:39:07.521 -> quat,0.41,-0.75,0.1,-0.51
11:39:07.621 -> quat,0.42,-0.75,0.1,-0.5
11:39:07.755 -> quat,0.46,-0.73,0.1,-0.49
11:39:07.888 -> quat,0.52,-0.71,0.11,-0.46
11:39:08.021 -> quat,0.56,-0.7,0.15,-0.42
11:39:08.154 -> quat,0.59,-0.69,0.18,-0.39
11:39:08.287 -> quat,0.61,-0.68,0.2,-0.37
11:39:08.420 -> quat,0.62,-0.66,0.22,-0.35
11:39:08.554 -> quat,0.64,-0.65,0.23,-0.34
11:39:08.687 -> quat,0.65,-0.64,0.24,-0.33
11:39:08.821 -> quat,0.66,-0.63,0.24,-0.33
11:39:08.954 -> quat,0.67,-0.63,0.22,-0.33
11:39:09.087 -> quat,0.68,-0.62,0.21,-0.32
11:39:09.221 -> quat,0.69,-0.61,0.23,-0.29
11:39:09.354 -> quat,0.71,-0.61,0.25,-0.27
11:39:09.488 -> quat,0.72,-0.6,0.26,-0.25
11:39:09.621 -> quat,0.72,-0.59,0.27,-0.23
11:39:09.754 -> quat,0.74,-0.58,0.27,-0.21
11:39:09.888 -> quat,0.75,-0.57,0.28,-0.19
11:39:10.021 -> quat,0.76,-0.56,0.29,-0.16
11:39:10.154 -> quat,0.77,-0.55,0.29,-0.14
11:39:10.287 -> quat,0.79,-0.53,0.28,-0.12
11:39:10.421 -> quat,0.79,-0.53,0.28,-0.12
11:39:10.520 -> quat,0.79,-0.53,0.28,-0.12
11:39:10.654 -> quat,0.79,-0.53,0.28,-0.13
11:39:10.787 -> quat,0.79,-0.53,0.28,-0.13
11:39:10.920 -> quat,0.79,-0.53,0.27,-0.13
11:39:11.054 -> quat,0.8,-0.53,0.27,-0.14
11:39:11.187 -> quat,0.8,-0.52,0.26,-0.14
11:39:11.320 -> quat,0.8,-0.52,0.25,-0.15
11:39:11.454 -> quat,0.8,-0.52,0.24,-0.15
11:39:11.587 -> quat,0.81,-0.52,0.24,-0.15
11:39:11.720 -> quat,0.8,-0.52,0.23,-0.16
11:39:11.854 -> quat,0.81,-0.52,0.23,-0.16
11:39:11.987 -> quat,0.81,-0.52,0.22,-0.16
11:39:12.120 -> quat,0.81,-0.52,0.22,-0.17
11:39:12.253 -> quat,0.81,-0.52,0.21,-0.17
11:39:12.387 -> quat,0.81,-0.52,0.21,-0.18
11:39:12.520 -> quat,0.81,-0.52,0.2,-0.18
11:39:12.654 -> quat,0.8,-0.53,0.2,-0.19
11:39:12.787 -> quat,0.78,-0.55,0.17,-0.24
11:39:12.920 -> quat,0.76,-0.57,0.13,-0.29
11:39:13.054 -> quat,0.73,-0.58,0.08,-0.35
11:39:13.187 -> quat,0.7,-0.59,0.03,-0.39
